iter	Passed	Remaining
0	140	140635
1	142	71315
2	144	48144
3	147	36638
4	149	29687
5	151	25069
6	154	21863
7	156	19357
8	158	17458
9	159	15766
10	161	14479
11	162	13359
12	164	12477
13	166	11709
14	166	10962
15	168	10347
16	169	9823
17	170	9321
18	171	8868
19	173	8479
20	173	8103
21	174	7774
22	175	7475
23	176	7185
24	177	6925
25	178	6691
26	179	6472
27	180	6265
28	181	6075
29	182	5892
30	183	5724
31	183	5563
32	184	5413
33	185	5269
34	186	5132
35	186	5004
36	187	4880
37	188	4762
38	188	4651
39	189	4545
40	190	4445
41	190	4348
42	191	4256
43	191	4168
44	192	4083
45	193	4003
46	193	3924
47	194	3850
48	194	3779
49	195	3710
50	195	3643
51	196	3578
52	196	3517
53	197	3458
54	197	3401
55	198	3346
56	199	3292
57	199	3239
58	200	3189
59	200	3141
60	201	3094
61	201	3048
62	202	3004
63	202	2961
64	203	2920
65	203	2880
66	204	2841
67	204	2803
68	205	2767
69	205	2731
70	206	2697
71	206	2663
72	207	2630
73	207	2598
74	208	2567
75	208	2537
76	209	2507
77	209	2479
78	210	2451
79	210	2423
80	211	2397
81	211	2372
82	212	2344
83	212	2319
84	213	2294
85	213	2270
86	214	2247
87	214	2225
88	215	2203
89	215	2181
90	216	2159
91	216	2139
92	217	2119
93	217	2098
94	218	2079
95	218	2060
96	219	2041
97	219	2022
98	220	2004
99	220	1986
100	221	1969
101	221	1952
102	222	1936
103	222	1919
104	223	1903
105	223	1887
106	224	1872
107	224	1856
108	225	1841
109	225	1827
110	226	1813
111	226	1799
112	227	1785
113	227	1771
114	228	1757
115	228	1743
116	229	1730
117	229	1717
118	230	1704
119	230	1692
120	231	1680
121	231	1667
122	232	1656
123	232	1644
124	233	1632
125	233	1621
126	234	1610
127	234	1599
128	235	1588
129	235	1577
130	236	1567
131	236	1557
132	237	1547
133	237	1537
134	238	1527
135	238	1517
136	239	1507
137	239	1498
138	240	1488
139	240	1479
140	241	1470
141	241	1460
142	242	1451
143	242	1443
144	243	1434
145	243	1425
146	244	1417
147	244	1408
148	245	1400
149	245	1391
150	246	1383
151	246	1375
152	247	1367
153	247	1359
154	247	1351
155	248	1344
156	248	1336
157	249	1328
158	249	1321
159	250	1313
160	250	1305
161	251	1298
162	251	1291
163	251	1284
164	252	1277
165	253	1271
166	253	1264
167	254	1258
168	254	1251
169	255	1245
170	255	1238
171	256	1232
172	256	1226
173	256	1219
174	257	1213
175	257	1207
176	258	1201
177	258	1195
178	259	1189
179	259	1183
180	260	1177
181	260	1171
182	261	1166
183	261	1160
184	262	1154
185	262	1149
186	263	1143
187	263	1138
188	263	1132
189	264	1127
190	265	1122
191	265	1117
192	266	1112
193	266	1107
194	266	1102
195	267	1096
196	267	1091
197	268	1086
198	268	1082
199	269	1077
200	269	1072
201	270	1067
202	270	1062
203	271	1058
204	271	1053
205	272	1048
206	272	1044
207	273	1039
208	273	1035
209	274	1030
210	274	1026
211	275	1022
212	275	1018
213	276	1013
214	276	1009
215	276	1005
216	277	1000
217	277	996
218	278	992
219	278	988
220	279	984
221	279	980
222	280	976
223	280	972
224	281	968
225	281	964
226	282	960
227	282	956
228	283	953
229	283	949
230	284	945
231	284	942
232	285	938
233	285	934
234	285	930
235	286	927
236	286	923
237	287	920
238	287	916
239	288	912
240	288	909
241	289	905
242	289	902
243	290	898
244	290	895
245	291	892
246	291	888
247	291	885
248	292	882
249	292	878
250	293	875
251	293	872
252	294	869
253	294	865
254	295	862
255	295	859
256	296	856
257	296	853
258	297	850
259	297	847
260	298	844
261	298	841
262	299	838
263	299	835
264	299	832
265	300	829
266	300	826
267	301	823
268	301	820
269	302	817
270	302	814
271	303	811
272	303	808
273	304	805
274	304	803
275	305	800
276	305	797
277	306	794
278	306	791
279	306	789
280	307	786
281	307	783
282	308	781
283	308	778
284	309	775
285	309	773
286	310	770
287	310	768
288	311	765
289	311	762
290	312	760
291	312	757
292	313	755
293	313	752
294	313	750
295	314	747
296	314	745
297	315	742
298	315	740
299	316	738
300	316	735
301	317	733
302	317	730
303	318	728
304	318	725
305	319	723
306	319	721
307	319	718
308	320	716
309	320	714
310	321	711
311	321	709
312	322	707
313	322	705
314	323	702
315	323	700
316	324	698
317	324	696
318	325	693
319	325	691
320	326	689
321	326	687
322	327	685
323	327	683
324	328	681
325	328	679
326	329	677
327	329	675
328	329	673
329	330	670
330	330	668
331	331	666
332	331	664
333	332	662
334	332	660
335	333	658
336	333	656
337	334	654
338	334	652
339	335	650
340	335	648
341	336	646
342	336	644
343	336	642
344	337	640
345	337	638
346	338	636
347	338	634
348	339	632
349	339	631
350	340	629
351	340	627
352	341	625
353	341	623
354	342	621
355	342	619
356	343	617
357	343	616
358	344	614
359	344	612
360	344	610
361	345	608
362	345	607
363	346	605
364	346	603
365	347	601
366	347	600
367	348	598
368	348	596
369	349	595
370	349	593
371	350	591
372	351	590
373	351	588
374	352	586
375	352	585
376	353	583
377	353	581
378	354	580
379	354	578
380	355	576
381	355	575
382	355	573
383	356	571
384	356	570
385	357	568
386	357	566
387	358	565
388	358	563
389	359	561
390	359	560
391	360	558
392	360	557
393	361	555
394	361	553
395	362	552
396	362	550
397	363	549
398	363	547
399	363	545
400	364	544
401	365	543
402	365	541
403	366	539
404	366	538
405	366	536
406	367	535
407	367	533
408	368	532
409	368	530
410	369	529
411	369	527
412	370	526
413	370	524
414	371	523
415	371	521
416	372	520
417	372	518
418	373	517
419	373	515
420	373	514
421	374	512
422	374	511
423	375	509
424	375	508
425	376	506
426	376	505
427	377	504
428	377	502
429	378	501
430	378	499
431	379	498
432	379	496
433	379	495
434	380	494
435	380	492
436	381	491
437	381	489
438	382	488
439	382	486
440	383	485
441	383	484
442	384	482
443	384	481
444	384	480
445	385	478
446	385	477
447	386	476
448	386	474
449	387	473
450	387	471
451	388	470
452	388	469
453	388	467
454	389	466
455	390	465
456	390	463
457	390	462
458	391	461
459	391	460
460	392	458
461	392	457
462	393	456
463	393	454
464	394	453
465	394	452
466	395	450
467	395	449
468	396	448
469	396	447
470	397	445
471	397	444
472	397	443
473	398	442
474	398	440
475	399	439
476	399	438
477	400	437
478	400	435
479	401	434
480	401	433
481	402	432
482	402	430
483	403	429
484	403	428
485	404	427
486	404	426
487	405	425
488	405	423
489	406	422
490	406	421
491	407	420
492	407	419
493	408	418
494	408	416
495	409	415
496	409	414
497	409	413
498	410	412
499	410	410
500	411	409
501	411	408
502	412	407
503	412	406
504	413	404
505	413	403
506	414	402
507	414	401
508	415	400
509	415	399
510	415	398
511	416	396
512	416	395
513	417	394
514	417	393
515	418	392
516	418	391
517	419	390
518	419	389
519	420	388
520	420	387
521	421	385
522	421	384
523	422	383
524	422	382
525	423	381
526	423	380
527	424	379
528	424	378
529	425	377
530	426	376
531	426	375
532	427	374
533	427	373
534	428	372
535	428	371
536	429	370
537	429	369
538	430	368
539	431	367
540	431	366
541	432	365
542	432	364
543	433	363
544	433	362
545	434	361
546	434	360
547	435	359
548	435	358
549	436	357
550	437	356
551	437	355
552	438	354
553	438	353
554	439	352
555	439	351
556	440	350
557	440	349
558	441	348
559	441	347
560	442	346
561	442	345
562	443	344
563	443	343
564	444	342
565	444	341
566	445	340
567	446	339
568	446	338
569	447	337
570	447	336
571	448	335
572	448	334
573	449	333
574	450	332
575	450	331
576	451	330
577	451	329
578	452	328
579	452	327
580	453	326
581	453	325
582	453	324
583	454	323
584	454	322
585	455	321
586	455	320
587	456	319
588	456	318
589	457	317
590	457	316
591	458	315
592	458	314
593	458	313
594	459	312
595	459	311
596	460	310
597	460	309
598	461	308
599	461	307
600	462	306
601	462	305
602	463	304
603	463	303
604	464	302
605	464	302
606	465	301
607	465	300
608	465	299
609	466	298
610	466	297
611	467	296
612	467	295
613	468	294
614	468	293
615	469	292
616	469	291
617	470	290
618	470	289
619	471	288
620	471	287
621	471	286
622	472	285
623	472	284
624	473	284
625	473	283
626	474	282
627	474	281
628	475	280
629	475	279
630	476	278
631	476	277
632	477	276
633	477	275
634	478	274
635	478	273
636	479	272
637	479	272
638	479	271
639	480	270
640	480	269
641	481	268
642	481	267
643	482	266
644	482	265
645	483	264
646	483	263
647	484	263
648	484	262
649	485	261
650	485	260
651	485	259
652	486	258
653	486	257
654	487	256
655	487	255
656	488	254
657	488	254
658	489	253
659	489	252
660	490	251
661	490	250
662	491	249
663	491	248
664	492	247
665	492	247
666	493	246
667	493	245
668	493	244
669	494	243
670	494	242
671	495	241
672	495	240
673	496	240
674	496	239
675	497	238
676	497	237
677	498	236
678	498	235
679	499	234
680	499	233
681	499	233
682	500	232
683	501	231
684	501	230
685	502	229
686	502	228
687	503	228
688	503	227
689	503	226
690	504	225
691	504	224
692	505	223
693	505	223
694	506	222
695	506	221
696	507	220
697	507	219
698	508	218
699	508	217
700	509	217
701	509	216
702	510	215
703	510	214
704	510	213
705	511	212
706	511	212
707	512	211
708	512	210
709	513	209
710	513	208
711	514	207
712	514	207
713	515	206
714	515	205
715	516	204
716	516	203
717	516	203
718	517	202
719	517	201
720	518	200
721	518	199
722	519	198
723	519	198
724	520	197
725	520	196
726	521	195
727	521	194
728	522	194
729	522	193
730	522	192
731	523	191
732	523	190
733	524	190
734	524	189
735	525	188
736	525	187
737	526	186
738	526	186
739	527	185
740	527	184
741	528	183
742	528	182
743	528	182
744	529	181
745	529	180
746	530	179
747	530	178
748	531	178
749	531	177
750	532	176
751	532	175
752	533	174
753	533	174
754	534	173
